Timestamp,Bar,Direction,FastGradient,FastEMA,SlowEMA,Close,MaxFavorableMove,BarsToPeak,BlockedReason,Status
2025-11-21 12:09:30,1338,SHORT,-2.4953,23949.48,23969.02,23938.25,0.00,0,"GradStab>1.46(2.609)|ATR>13.57(15.21)|RSI<50.0(30.6) ADX:43.9 ATR:15.21 RSI:30.6 GradStab:2.609 BW:0.0008 Accel:-3.582,0,1338",MISSED_FLAT
2025-11-21 12:10:30,1340,SHORT,-1.9089,23948.09,23964.89,23939.50,0.00,0,"GradStab>1.46(2.088)|ATR>13.57(15.64)|RSI<50.0(34.7) ADX:42.2 ATR:15.64 RSI:34.7 GradStab:2.088 BW:0.0007 Accel:-2.020,0,1340",MISSED_FLAT
2025-11-21 12:15:30,1350,SHORT,-0.5358,23970.41,23971.19,23968.00,0.00,0,"GradStab>1.46(1.548)|ATR>13.57(16.03)|RSI<50.0(47.0) ADX:22.6 ATR:16.03 RSI:47.0 GradStab:1.548 BW:0.0000 Accel:-2.189,0,1350",MISSED_FLAT
2025-11-21 12:56:30,1432,LONG,1.1962,24080.62,24071.15,24086.00,0.00,0,"GradStab>1.46(1.569) ADX:36.6 ATR:11.24 RSI:63.3 GradStab:1.569 BW:0.0004 Accel:+1.714,0,1432",MISSED_FLAT
2025-11-21 13:25:00,1489,SHORT,-0.6024,24121.71,24122.86,24119.00,0.00,0,"RSI<50.0(47.7) ADX:19.2 ATR:10.74 RSI:47.7 GradStab:1.280 BW:0.0000 Accel:-2.452,0,1489",MISSED_FLAT
2025-11-21 13:36:30,1512,SHORT,-0.5362,24095.16,24097.57,24092.75,0.00,0,"ADX<18(16.1)|RSI<50.0(43.4) ADX:16.1 ATR:9.72 RSI:43.4 GradStab:0.835 BW:0.0001 Accel:-0.780,0,1512",MISSED_FLAT
2025-11-21 14:01:30,1562,SHORT,-1.2879,24039.55,24039.95,24033.75,0.00,0,"GradStab>1.46(1.731)|RSI<50.0(44.7) ADX:23.4 ATR:12.19 RSI:44.7 GradStab:1.731 BW:0.0000 Accel:-2.613,0,1562",MISSED_FLAT
2025-11-21 14:02:00,1563,LONG,1.4669,24044.15,24042.46,24050.75,0.00,0,"GradStab>1.46(1.695) ADX:22.2 ATR:12.67 RSI:53.4 GradStab:1.695 BW:0.0001 Accel:+2.755,0,1563",MISSED_FLAT
2025-11-21 14:09:00,1577,SHORT,-2.9600,24037.82,24041.79,24024.50,0.00,0,"ADX<18(16.2)|GradStab>1.46(1.552)|ATR>13.57(14.27)|RSI<50.0(41.4) ADX:16.2 ATR:14.27 RSI:41.4 GradStab:1.552 BW:0.0002 Accel:-3.549,0,1577",MISSED_FLAT
2025-11-21 14:18:00,1595,SHORT,-1.8044,24012.37,24015.47,24004.25,0.00,0,"ADX<18(16.6)|GradStab>1.46(2.762)|ATR>13.57(13.79)|RSI<50.0(43.4) ADX:16.6 ATR:13.79 RSI:43.4 GradStab:2.762 BW:0.0001 Accel:-2.245,0,1595",MISSED_FLAT
2025-11-21 14:21:30,1602,SHORT,-0.5580,24011.26,24013.16,24008.75,0.00,0,"ADX<18(14.2)|ATR>13.57(13.75)|RSI<50.0(46.4) ADX:14.2 ATR:13.75 RSI:46.4 GradStab:1.111 BW:0.0001 Accel:-1.174,0,1602",MISSED_FLAT
2025-11-21 14:31:00,1621,LONG,22.9525,24025.46,24007.63,24128.75,0.00,0,"GradStab>1.46(7.049)|ATR>13.57(21.94) ADX:31.1 ATR:21.94 RSI:79.5 GradStab:7.049 BW:0.0007 Accel:+24.571,0,1621",MISSED_FLAT
2025-11-21 14:44:30,1648,LONG,1.6546,24151.05,24140.51,24158.50,0.00,0,"GradStab>1.46(2.549)|ATR>13.57(25.04) ADX:33.2 ATR:25.04 RSI:59.0 GradStab:2.549 BW:0.0004 Accel:+4.284,0,1648",MISSED_FLAT
2025-11-21 14:53:00,1665,LONG,3.1050,24228.78,24212.91,24242.75,0.00,0,"GradStab>1.46(2.558)|ATR>13.57(19.96) ADX:34.2 ATR:19.96 RSI:65.1 GradStab:2.558 BW:0.0007 Accel:+3.638,0,1665",MISSED_FLAT
